filename	url	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10
image_1.png	https://github.com/choosehappy/TraitHorizon/	0.712	0.152	0.843	0.425	0.621	0.297	0.517	0.389	0.928	0.781
image_2.png	https://github.com/choosehappy/TraitHorizon/	0.832	0.481	0.651	0.372	0.905	0.704	0.231	0.194	0.646	0.416
image_3.png	https://github.com/choosehappy/TraitHorizon/	0.193	0.295	0.857	0.609	0.142	0.871	0.770	0.536	0.961	0.122
image_4.png	https://github.com/choosehappy/TraitHorizon/	0.719	0.556	0.633	0.918	0.317	0.440	0.806	0.799	0.277	0.635
image_5.png	https://github.com/choosehappy/TraitHorizon/	0.478	0.814	0.963	0.024	0.362	0.637	0.226	0.168	0.936	0.049
image_6.png	https://github.com/choosehappy/TraitHorizon/	0.278	0.185	0.572	0.706	0.137	0.892	0.409	0.662	0.578	0.392
image_7.png	https://github.com/choosehappy/TraitHorizon/	0.872	0.403	0.138	0.790	0.925	0.551	0.735	0.229	0.789	0.891
image_8.png	https://github.com/choosehappy/TraitHorizon/	0.647	0.961	0.119	0.340	0.803	0.217	0.637	0.352	0.044	0.778
image_9.png	https://github.com/choosehappy/TraitHorizon/	0.546	0.758	0.244	0.622	0.831	0.534	0.456	0.864	0.018	0.311
image_10.png	https://github.com/choosehappy/TraitHorizon/	0.821	0.377	0.782	0.491	0.614	0.182	0.731	0.680	0.711	0.991
image_11.png	https://github.com/choosehappy/TraitHorizon/	0.648	0.512	0.317	0.222	0.119	0.893	0.426	0.789	0.465	0.655
image_12.png	https://github.com/choosehappy/TraitHorizon/	0.477	0.690	0.932	0.795	0.504	0.328	0.661	0.256	0.605	0.167
image_13.png	https://github.com/choosehappy/TraitHorizon/	0.975	0.076	0.265	0.456	0.727	0.890	0.372	0.918	0.800	0.732
image_14.png	https://github.com/choosehappy/TraitHorizon/	0.300	0.846	0.401	0.556	0.177	0.646	0.838	0.402	0.753	0.641
image_15.png	https://github.com/choosehappy/TraitHorizon/	0.677	0.233	0.515	0.710	0.887	0.551	0.109	0.862	0.230	0.815
image_16.png	https://github.com/choosehappy/TraitHorizon/	0.145	0.511	0.985	0.312	0.599	0.902	0.469	0.732	0.572	0.237
image_17.png	https://github.com/choosehappy/TraitHorizon/	0.820	0.688	0.420	0.824	0.178	0.340	0.587	0.609	0.149	0.615
image_18.png	https://github.com/choosehappy/TraitHorizon/	0.591	0.295	0.778	0.423	0.694	0.158	0.934	0.337	0.860	0.128
image_19.png	https://github.com/choosehappy/TraitHorizon/	0.899	0.874	0.097	0.679	0.335	0.421	0.544	0.167	0.507	0.609
image_20.png	https://github.com/choosehappy/TraitHorizon/	0.383	0.649	0.151	0.291	0.987	0.198	0.826	0.582	0.222	0.746